id,student_id,card_type,weekday,marked_at,marked_by_email,week_start
1df9ea86-60d2-4151-9a12-10a30bb1faab,d68c7a65-8316-485d-8a8f-64befbe59326,green,1,2026-06-01 16:01:46.191987+00,rsdeoliveira@live.com,2026-06-01
b54a1d99-33cf-4218-8901-ea74ed30fea7,6238dd06-e129-4964-9bea-c462e5f36c15,green,1,2026-06-01 16:02:15.840287+00,rsdeoliveira@live.com,2026-06-01
7bb995ec-d02c-4f91-b669-ec79ecb52859,38c6bc8b-4f3f-46d3-8df7-67088512758f,green,1,2026-06-01 16:07:53.070293+00,rsdeoliveira@live.com,2026-06-01
60887af0-cbdc-466d-b72b-8c74e069eda4,00671141-1829-438a-bb33-e702e672d4e2,green,1,2026-06-01 16:12:24.568339+00,rsdeoliveira@live.com,2026-06-01
39c67535-e071-4bab-a7a0-bcf65e558fc7,10960a3c-1be4-4439-8004-682068251cea,green,1,2026-06-01 16:16:19.418044+00,rsdeoliveira@live.com,2026-06-01
a9d6cf29-f4f7-4b97-979c-1f11db1fe986,06f7756b-0402-43e0-a466-0351c27e84bb,green,1,2026-06-01 16:19:12.790745+00,rsdeoliveira@live.com,2026-06-01
d575cc4b-142b-4e69-a27b-07781865bf73,d50a6b26-4c27-47e5-8ca8-7c09cae7c669,green,1,2026-06-01 16:21:51.35002+00,rsdeoliveira@live.com,2026-06-01
032fadc9-e340-4be1-8b9a-ac6ae5d01eb4,75061457-1a89-462a-b288-a63ce1bf59e9,green,1,2026-06-01 19:53:30.047317+00,rsdeoliveira@live.com,2026-06-01
e8311db8-7a34-444c-b27a-075dc270ac1d,7bc15054-2bcf-4385-8e53-3bb113386b1e,green,1,2026-06-01 19:53:37.21005+00,rsdeoliveira@live.com,2026-06-01
0df4f660-af20-455d-8ea9-2384cf76cde8,9624a547-223e-499f-b648-0d4cd5756a81,green,1,2026-06-01 19:54:23.338164+00,rsdeoliveira@live.com,2026-06-01
ccc8aab3-87ce-4f36-a7f3-a4457f97ea9c,5446a522-58c5-4727-a6e6-a5e9b56ce59d,green,1,2026-06-01 19:55:15.457968+00,rsdeoliveira@live.com,2026-06-01
450e5ffa-0f92-4485-b681-ba303580dfae,5708401f-8de5-4afc-bd85-47873cae849c,green,1,2026-06-01 19:56:35.079947+00,rsdeoliveira@live.com,2026-06-01
7e79b07c-9edb-4cc6-b515-487a819453fa,8cf9c880-f1c7-4153-b5d1-10ed441dba4e,green,1,2026-06-01 19:56:35.845174+00,rsdeoliveira@live.com,2026-06-01
8fc71e30-20ea-4a3a-8247-ade82dd941bd,6117be0e-316d-4816-9a48-7cc4f5595dc6,green,1,2026-06-01 20:01:55.635882+00,rsdeoliveira@live.com,2026-06-01
63991bbd-a722-42d8-a868-220ac2ff0de2,4dca53bc-1217-4019-8969-deb495aebae2,green,2,2026-06-02 19:37:50.668109+00,rsdeoliveira@live.com,2026-06-01
e820fdc0-8af6-424e-8269-35a1298faf71,b27f5d62-aeb6-4837-ba6c-00a22c5ecc22,green,2,2026-06-03 12:33:55.87481+00,rsdeoliveira@live.com,2026-06-01
4ba5ea9d-5637-483a-9397-c9c7ab60da9b,169f959b-b6a7-44c6-a5bc-4c375e89ed7a,green,2,2026-06-03 12:34:06.620167+00,rsdeoliveira@live.com,2026-06-01
4d645df8-a62d-4c5b-bca1-666b79c33d60,06f7756b-0402-43e0-a466-0351c27e84bb,green,2,2026-06-03 12:34:11.129529+00,rsdeoliveira@live.com,2026-06-01
20317c7b-bb00-4ef3-b1e5-b5e2255cf69c,97246d3b-8cfe-4bb7-994a-e4c7027c0af1,green,2,2026-06-03 12:34:25.192891+00,rsdeoliveira@live.com,2026-06-01
8391ee96-daa1-4fb9-8769-e7ca218af625,7def2b45-303c-49f3-b041-b10c1e7c53d7,green,2,2026-06-03 12:34:33.969603+00,rsdeoliveira@live.com,2026-06-01
47613334-7171-4471-8f02-8f4244d57318,cc165330-a86a-45a0-b7d4-b419b50c2f1a,green,2,2026-06-03 12:37:30.381964+00,rsdeoliveira@live.com,2026-06-01
2b1ae3ee-6dbf-4e46-bbcb-eb5a5389182c,8c8fcde8-fd10-4a8e-b1d0-c490b3a9abe8,green,1,2026-06-03 12:37:52.764711+00,rsdeoliveira@live.com,2026-06-01
0406c804-6f63-4d39-8caf-1a06c1b4d609,cc1051f7-3167-4255-8a8a-3b224612b8f5,orange,1,2026-06-03 13:57:44.710404+00,brunorodriguesconsul@gmail.com,2026-06-01
316a3fc1-96c6-4fce-8cd7-1f2a8442785c,47f1a5f7-27e1-4943-9abb-b6065cf68522,orange,1,2026-06-03 13:57:44.70988+00,brunorodriguesconsul@gmail.com,2026-06-01
a06cb454-8184-40e0-a445-3e9e095b1413,5446a522-58c5-4727-a6e6-a5e9b56ce59d,green,3,2026-06-03 18:01:01.147765+00,rsdeoliveira@live.com,2026-06-01
d46ca592-92b4-43b6-b88c-2622142142c3,6238dd06-e129-4964-9bea-c462e5f36c15,green,3,2026-06-03 19:29:11.282941+00,rsdeoliveira@live.com,2026-06-01
975dd596-bafc-4723-b45e-f16164b8c5c2,c8531143-f497-40f2-b386-8d6ac425944f,green,3,2026-06-03 19:29:16.233908+00,rsdeoliveira@live.com,2026-06-01
e5ba3bc3-270c-46b7-a324-6b59ef32b247,4dca53bc-1217-4019-8969-deb495aebae2,green,3,2026-06-03 19:29:30.159628+00,rsdeoliveira@live.com,2026-06-01
eddec9ba-f691-49ac-b571-3d1809578c23,75061457-1a89-462a-b288-a63ce1bf59e9,green,3,2026-06-03 19:30:10.782235+00,rsdeoliveira@live.com,2026-06-01
27ffcb78-6734-4a85-b23e-eb08a19c5aad,38c6bc8b-4f3f-46d3-8df7-67088512758f,green,3,2026-06-03 19:30:18.077524+00,rsdeoliveira@live.com,2026-06-01
be5df489-77ee-44b3-9f25-c56f51142b9c,7bc15054-2bcf-4385-8e53-3bb113386b1e,green,3,2026-06-03 19:30:19.568772+00,rsdeoliveira@live.com,2026-06-01
